Load_Percent Sleep PA RF BB DC MS CO Total
0.0 75.0 0.0 0.0 0.0 0.0 0.0 0.0 75.0
5.0 0.0 130.2 78.0 177.0 31.2 41.2 50.8 508.4
10.0 0.0 260.3 78.0 177.0 41.8 55.1 68.0 680.3
15.0 0.0 390.5 78.0 177.0 52.3 69.0 85.2 852.1
20.0 0.0 520.7 78.0 177.0 62.9 82.9 102.4 1023.9
25.0 0.0 650.9 78.0 177.0 73.4 96.9 119.6 1195.8
30.0 0.0 781.0 78.0 177.0 84.0 110.8 136.8 1367.6
35.0 0.0 911.2 78.0 177.0 94.6 124.7 153.9 1539.4
40.0 0.0 1041.4 78.0 177.0 105.1 138.6 171.1 1711.2
45.0 0.0 1171.6 78.0 177.0 115.7 152.5 188.3 1883.1
50.0 0.0 1301.7 78.0 177.0 126.2 166.4 205.5 2054.9
55.0 0.0 1431.9 78.0 177.0 136.8 180.4 222.7 2226.7
60.0 0.0 1562.1 78.0 177.0 147.3 194.3 239.9 2398.6
65.0 0.0 1692.3 78.0 177.0 157.9 208.2 257.0 2570.4
70.0 0.0 1822.4 78.0 177.0 168.4 222.1 274.2 2742.2
75.0 0.0 1952.6 78.0 177.0 179.0 236.0 291.4 2914.1
80.0 0.0 2082.8 78.0 177.0 189.6 250.0 308.6 3085.9
85.0 0.0 2213.0 78.0 177.0 200.1 263.9 325.8 3257.7
90.0 0.0 2343.1 78.0 177.0 210.7 277.8 343.0 3429.5
95.0 0.0 2473.3 78.0 177.0 221.2 291.7 360.1 3601.4
100.0 0.0 2603.5 78.0 177.0 231.8 305.6 377.3 3773.2
